arm,dataset,subject_id,shared_pairs,full_kills,ablation_kills
no_RC,Patch,rcx_unchecked_low_level_calls__address_00007__SmartFix,1,0,0
no_RC,Patch,rcx_unchecked_low_level_calls__address_00007__TIPS,1,0,0
no_RC,Patch,rcx_unchecked_low_level_calls__address_00007__sGuard,1,0,0
no_RC,Patch,rcx_unchecked_low_level_calls__address_00011__SmartFix,1,0,0
no_RC,Patch,rcx_unchecked_low_level_calls__address_00012__SmartFix,1,0,0
no_RC,Patch,rcx_unchecked_low_level_calls__address_00012__TIPS,1,1,0
no_RC,Patch,rcx_unchecked_low_level_calls__address_00012__sGuard,1,1,0
no_RC,Patch,rcx_unchecked_low_level_calls__address_00012__sGuardPlus,1,0,0
no_RC,Patch,rcx_unchecked_low_level_calls__address_00018__TIPS,1,0,0
no_RC,Patch,rcx_unchecked_low_level_calls__address_00018__sGuard,1,0,0
no_RC,Patch,rcx_unchecked_low_level_calls__address_00020__SmartFix,1,0,0
no_RC,Patch,rcx_unchecked_low_level_calls__address_00020__TIPS,1,1,0
no_RC,Patch,rcx_unchecked_low_level_calls__address_00020__sGuard,1,1,0
no_RC,Patch,rcx_unchecked_low_level_calls__address_00020__sGuardPlus,1,0,0
no_RC,Patch,rcx_unchecked_low_level_calls__address_00024__TIPS,1,0,0
no_RC,Patch,rcx_unchecked_low_level_calls__address_00024__sGuard,1,0,0
no_RC,Patch,rcx_unchecked_low_level_calls__address_00027__TIPS,1,1,1
no_RC,Patch,rcx_unchecked_low_level_calls__address_00027__sGuard,1,1,1
no_RC,Patch,rcx_unchecked_low_level_calls__address_00027__sGuardPlus,1,1,1
no_RC,Patch,reprod_DCFToken,1,0,0
no_OS,Patch,acfix_002_Templedao,1,0,0
no_OS,Patch,acfix_015_CVE_2018_10666,1,1,0
no_OS,Patch,acfix_016_CVE_2018_10705,1,1,0
no_OS,Patch,acfix_021_CVE_2018_19832,1,1,0
no_OS,Patch,acfix_022_CVE_2018_19833,1,1,0
no_OS,Patch,acfix_026_CVE_2019_15080,1,1,0
no_OS,Patch,acfix_030_CVE_2021_34272,1,1,0
no_OS,Patch,acfix_031_CVE_2021_34273,1,1,0
no_OS,Patch,acfix_032_CVE_2021_39167,1,0,0
no_OS,Patch,acfix_033_CVE_2021_39168,1,0,0
no_OS,Patch,acfix_077_L1Block,1,1,0
no_OS,Patch,acfix_088_EmergencyOracleFactory,1,1,0
no_OS,Patch,acfix_3_5_015_CVE_2018_10666,1,1,0
no_OS,Patch,acfix_3_5_016_CVE_2018_10705,1,1,0
no_OS,Patch,acfix_3_5_076_RoundFactory,1,0,0
no_OS,Patch,acfix_3_5_077_L1Block,1,0,0
no_OS,Patch,acfix_3_5_088_EmergencyOracleFactory,1,1,0
no_OS,Patch,acfix_3_5_101_ANCHToken,1,0,0
no_OS,Patch,acfix_fixlink_DepositLog,1,1,1
no_OS,Patch,acfix_fixlink_DnGmxBatchingManager,1,0,0
no_OS,Patch,acfix_fixlink_MStableYieldSource,1,0,0
no_OS,Patch,acfix_fixlink_Product,1,0,0
no_OS,Patch,acfix_fixlink_Product2,1,0,0
no_OS,Patch,acfix_llama3_002_Templedao,1,0,0
no_OS,Patch,acfix_llama3_017_CVE_2018_11329,1,1,0
no_OS,Patch,acfix_llama3_022_CVE_2018_19833,1,1,0
no_OS,Patch,acfix_llama3_024_CVE_2019_15078,1,1,0
no_OS,Patch,acfix_real_BaseEscalationManager,1,1,1
no_OS,Patch,acfix_real_FlashGovernanceArbiter,1,1,0
no_OS,Patch,ct_20_Pool_sol_Synth_sol_Failing_Max_Value_Al,1,0,0
no_OS,Patch,ct_5_Proposals_can_be_cancelled,1,0,0
no_OS,Patch,pop_001_Multicall,1,1,1
no_OS,Patch,pop_009_PrivatePool,1,0,0
no_OS,Patch,pop_018_PrivatePool,1,0,0
no_OS,Patch,pop_020_GSPFunding,1,0,0
no_OS,Patch,pop_032_PuttyV2,1,0,0
no_OS,Patch,pop_033_PrivatePool,1,0,0
no_OS,Patch,pop_042_VaultAdapter,1,0,0
no_OS,Patch,pop_046_CVXStaker,1,0,0
no_OS,Patch,pop_048_PrivatePool,1,0,0
no_OS,Patch,pop_049_Cooler,1,0,0
no_OS,Patch,pop_051_LiquidityPool,1,0,0
no_OS,Patch,pop_058_PuttyV2,1,0,0
no_OS,Patch,pop_066_LRTDepositPool,1,0,0
no_OS,Patch,pop_070_PhiNFT1155,1,0,0
no_OS,Patch,pop_077_GameItems,1,0,0
no_OS,Patch,pop_077_MergingPool,1,0,0
no_OS,Patch,rc_access_control__mycontract__SolGPT__mycontract_2round,1,0,0
no_OS,Patch,rc_access_control__mycontract__SolGPT__mycontract_3round,1,0,0
no_OS,Patch,rc_access_control__mycontract__sGuard__mycontract,1,0,0
no_OS,Patch,rc_access_control__phishable__SmartFix__phishable,1,1,0
no_OS,Patch,rc_access_control__phishable__TIPS__phishable,1,1,0
no_OS,Patch,rc_access_control__phishable__sGuardPlus__phishable,1,1,0
no_OS,Patch,rc_access_control__phishable__sGuard__phishable,1,1,0
no_OS,Patch,rc_access_control__proxy__SolGPT__proxy_4round,1,0,0
no_OS,Patch,rc_access_control__simple_suicide__SmartFix__simple_suicide,1,1,0
no_OS,Patch,rc_access_control__simple_suicide__sGuardPlus__simple_suicide,1,1,0
no_OS,Patch,rc_access_control__wallet_02_refund_nosub__SmartFix__wallet_02_refund_nosub,1,0,0
no_OS,Patch,rc_access_control__wallet_02_refund_nosub__SolGPT__wallet_02_refund_nosub_2round,1,0,0
no_OS,Patch,rc_bad_randomness__old_blockhash__SolGPT__old_blockhash_1round,1,1,0
no_OS,Patch,rc_bad_randomness__old_blockhash__SolGPT__old_blockhash_2round,1,1,0
no_OS,Patch,rc_bad_randomness__old_blockhash__SolGPT__old_blockhash_3round,1,1,0
no_OS,Patch,rc_reentrancy__modifier_reentrancy__SmartFix__modifier_reentrancy,1,0,0
no_OS,Patch,rc_reentrancy__reentrancy_bonus__SmartFix__reentrancy_bonus,1,0,0
no_OS,Patch,rc_reentrancy__reentrancy_dao__SolGPT__reentrancy_dao_1round,1,0,0
no_OS,Patch,rc_reentrancy__reentrancy_dao__SolGPT__reentrancy_dao_4round,1,0,0
no_OS,Patch,rc_reentrancy__reentrancy_dao__sGuardPlus__reentrancy_dao,1,0,0
no_OS,Patch,rc_reentrancy__reentrancy_simple__SmartFix__reentrancy_simple,1,0,0
no_OS,Patch,rc_reentrancy__reentrancy_simple__sGuard__reentrancy_simple,1,1,0
no_OS,Patch,rc_time_manipulation__ether_lotto__SolGPT__ether_lotto_1round,1,0,0
no_OS,Patch,rc_time_manipulation__ether_lotto__SolGPT__ether_lotto_2round,1,0,0
no_OS,Patch,rc_time_manipulation__ether_lotto__SolGPT__ether_lotto_3round,1,0,0
no_OS,Patch,rc_time_manipulation__roulette__SolGPT__roulette_1round,1,1,0
no_OS,Patch,rc_time_manipulation__roulette__SolGPT__roulette_2round,1,1,0
no_OS,Patch,rc_time_manipulation__roulette__SolGPT__roulette_3round,1,0,0
no_OS,Patch,rc_time_manipulation__roulette__SolGPT__roulette_4round,1,1,0
no_OS,Patch,rc_unchecked_low_level_calls__address_00001__SolGPT__address_00001_3round,1,1,1
no_OS,Patch,rc_unchecked_low_level_calls__address_00003__SolGPT__address_00003_3round,1,0,0
no_OS,Patch,rc_unchecked_low_level_calls__address_00005__SolGPT__address_00005_2round,1,0,0
no_OS,Patch,rc_unchecked_low_level_calls__address_00005__SolGPT__address_00005_3round,1,0,0
no_OS,Patch,rc_unchecked_low_level_calls__address_00008__SolGPT__address_00008_1round,1,0,0
no_OS,Patch,rc_unchecked_low_level_calls__address_00008__SolGPT__address_00008_2round,1,0,0
no_OS,Patch,rc_unchecked_low_level_calls__address_00008__SolGPT__address_00008_3round,1,0,0
no_OS,Patch,rc_unchecked_low_level_calls__address_00014__TIPS__address_00014U2,1,0,0
no_OS,Patch,rc_unchecked_low_level_calls__address_00017__SolGPT__address_00017_1round,1,0,0
no_OS,Patch,rc_unchecked_low_level_calls__address_00022__sGuardPlus__address_00022,1,1,1
no_OS,Patch,rcx_reentrancy__address_00002__SmartFix,1,1,0
no_OS,Patch,rcx_reentrancy__address_00006__SmartFix,1,0,0
no_OS,Patch,rcx_reentrancy__address_00009__SmartFix,1,1,0
no_OS,Patch,rcx_reentrancy__address_00010__SmartFix,1,1,0
no_OS,Patch,rcx_reentrancy__address_00013__SmartFix,1,0,0
no_OS,Patch,rcx_reentrancy__address_00013__sGuard,1,0,0
no_OS,Patch,rcx_reentrancy__address_00015__SmartFix,1,0,0
no_OS,Patch,rcx_reentrancy__address_00015__sGuard,1,0,0
no_OS,Patch,rcx_reentrancy__address_00016__SmartFix,1,1,0
no_OS,Patch,rcx_reentrancy__address_00016__sGuard,1,1,0
no_OS,Patch,rcx_reentrancy__address_00019__SmartFix,1,1,0
no_OS,Patch,rcx_reentrancy__address_00021__SmartFix,1,1,0
no_OS,Patch,rcx_reentrancy__address_00023__SmartFix,1,1,0
no_OS,Patch,rcx_reentrancy__address_00023__sGuard,1,1,0
no_OS,Patch,rcx_reentrancy__address_00026__SmartFix,1,0,0
